category,count
밥류,2623
빵,2497
초콜릿,2197
과채주스,2132
비스킷/쿠키/크래커,2038
일반과자,1829
액상음료,1547
케이크,1318
죽,1293
과·채음료,1180
젤리,1079
국/탕류,1061
사탕,1040
반찬,865
샐러드,770
파스타,766
아이스크림,744
도시락,737
샌드위치,652
탄산음료,649
주먹밥/김밥/초밥,582
농후발효유,521
피자,508
잼,467
아이스밀크,466
올리브유,426
찌개/전골류,422
가공우유,378
빙과,359
햄,357
즉석 면요리,328
식빵,307
영·유아용 이유식,301
마카롱,292
만두,286
초콜릿과자,272
발효유,261
농축음료,255
일반라면,249
코팅캔디,244
당면,238
떡볶이,234
샤베트,228
발효음료,216
버거,212
소시지,210
소고기,204
미숫가루,202
스낵과자,201
순대,200
스프,195
향미유,188
조림/찜,177
액상커피,175
웨이퍼,175
국수,173
바게트/치아바타,162
유산균음료,158
소스/드레싱,155
강냉이/팝콘,155
혼합장,154
체중조절용 조제식품,145
카스텔라,143
크로와상,142
양갱,136
파이/만쥬,135
베이글,134
시리얼,132
머핀,130
진간장,129
도넛,127
된장,123
고추장,118
인삼/홍삼음료,116
탄산수,111
캐러멜,106
호빵,102
메밀국수/냉면국수,99
스콘,95
액상차,92
어육가공품,90
분말차,90
코코아,86
타르트,84
초코파이,80
멥쌀,80
커피,78
환자용 식품,77
볶음/비빔라면,73
호떡,71
함박스테이크/미트볼,71
튀김,70
전통과자,70
칼국수,69
쌀국수,67
두유,55
들기름,55
과일가공품,53
옥수수,52
치킨,52
라면,49
크로켓,49
돼지고기,48
참기름,47
해바라기씨유,45
스무디,42
성장기용 조제식,41
자장라면,41
유채씨유/카놀라유,41
아보카도오일,41
라떼,40
누가,40
누룽지,39
우동면,37
포도씨유,37
치즈,34
식물성유지,34
강화우유,33
콩기름(대두유),33
견과류,31
푸딩,30
마시멜로,30
고구마,29
당류가공품,29
포도,29
배추,29
닭고기,26
보리,26
돔류,23
국간장,23
탕수육,22
라이스페이퍼,22
호박,22
